Age,Probability_M,Number_M,Life_M,Probability_F,Number_F,Life_F
0,0.006383,100000.00,76.15,0.005374,100000.00,80.97
1,0.000453,99362.00,75.63,0.000353,99463.00,80.41
2,0.000282,99317.00,74.67,0.000231,99427.00,79.44
3,0.000230,99289.00,73.69,0.000165,99405.00,78.45
4,0.000169,99266.00,72.71,0.000129,99388.00,77.47
5,0.000155,99249.00,71.72,0.000116,99375.00,76.48
6,0.000145,99234.00,70.73,0.000107,99364.00,75.48
7,0.000135,99219.00,69.74,0.000101,99353.00,74.49
8,0.000120,99206.00,68.75,0.000096,99343.00,73.50
9,0.000105,99194.00,67.76,0.000092,99334.00,72.51
10,0.000094,99184.00,66.76,0.000091,99325.00,71.51
11,0.000099,99174.00,65.77,0.000096,99316.00,70.52
12,0.000134,99164.00,64.78,0.000111,99306.00,69.53
13,0.000207,99151.00,63.79,0.000138,99295.00,68.53
14,0.000309,99131.00,62.80,0.000174,99281.00,67.54
15,0.000419,99100.00,61.82,0.000214,99264.00,66.56
16,0.000530,99059.00,60.84,0.000254,99243.00,65.57
17,0.000655,99006.00,59.88,0.000294,99217.00,64.59
18,0.000791,98941.00,58.91,0.000330,99188.00,63.61
19,0.000934,98863.00,57.96,0.000364,99156.00,62.63
20,0.001085,98771.00,57.01,0.000399,99120.00,61.65
21,0.001228,98663.00,56.08,0.000436,99080.00,60.67
22,0.001339,98542.00,55.14,0.000469,99037.00,59.70
23,0.001403,98410.00,54.22,0.000497,98990.00,58.73
24,0.001433,98272.00,53.29,0.000522,98941.00,57.76
25,0.001451,98131.00,52.37,0.000546,98890.00,56.79
26,0.001475,97989.00,51.44,0.000572,98836.00,55.82
27,0.001502,97844.00,50.52,0.000604,98779.00,54.85
28,0.001538,97698.00,49.59,0.000644,98719.00,53.88
29,0.001581,97547.00,48.67,0.000690,98656.00,52.92
30,0.001626,97393.00,47.75,0.000740,98588.00,51.95
31,0.001669,97235.00,46.82,0.000792,98515.00,50.99
32,0.001712,97072.00,45.90,0.000841,98437.00,50.03
33,0.001755,96906.00,44.98,0.000886,98354.00,49.07
34,0.001800,96736.00,44.06,0.000929,98267.00,48.11
35,0.001855,96562.00,43.14,0.000977,98175.00,47.16
36,0.001920,96383.00,42.22,0.001034,98080.00,46.20
37,0.001988,96198.00,41.30,0.001098,97978.00,45.25
38,0.002060,96006.00,40.38,0.001171,97870.00,44.30
39,0.002141,95809.00,39.46,0.001253,97756.00,43.35
40,0.002240,95603.00,38.54,0.001347,97633.00,42.41
41,0.002362,95389.00,37.63,0.001452,97502.00,41.46
42,0.002509,95164.00,36.72,0.001571,97360.00,40.52
43,0.002684,94925.00,35.81,0.001706,97207.00,39.59
44,0.002890,94671.00,34.90,0.001857,97041.00,38.65
45,0.003121,94397.00,34.00,0.002022,96861.00,37.72
46,0.003386,94102.00,33.11,0.002204,96665.00,36.80
47,0.003707,93784.00,32.22,0.002411,96452.00,35.88
48,0.004091,93436.00,31.34,0.002648,96220.00,34.96
49,0.004531,93054.00,30.46,0.002910,95965.00,34.06
50,0.005013,92632.00,29.60,0.003193,95686.00,33.15
51,0.005524,92168.00,28.75,0.003491,95380.00,32.26
52,0.006059,91659.00,27.90,0.003801,95047.00,31.37
53,0.006611,91103.00,27.07,0.004119,94686.00,30.49
54,0.007187,90501.00,26.25,0.004449,94296.00,29.61
55,0.007800,89851.00,25.43,0.004813,93877.00,28.74
56,0.008456,89150.00,24.63,0.005201,93425.00,27.88
57,0.009144,88396.00,23.83,0.005583,92939.00,27.02
58,0.009865,87588.00,23.05,0.005952,92420.00,26.17
59,0.010622,86724.00,22.27,0.006325,91870.00,25.32
60,0.011458,85802.00,21.51,0.006749,91289.00,24.48
61,0.012350,84819.00,20.75,0.007238,90673.00,23.64
62,0.013235,83772.00,20.00,0.007776,90017.00,22.81
63,0.014097,82663.00,19.27,0.008368,89317.00,21.99
64,0.014979,81498.00,18.53,0.009032,88569.00,21.17
65,0.015967,80277.00,17.81,0.009794,87769.00,20.36
66,0.017109,78995.00,17.09,0.010673,86910.00,19.55
67,0.018392,77644.00,16.38,0.011676,85982.00,18.76
68,0.019836,76216.00,15.68,0.012815,84978.00,17.98
69,0.021465,74704.00,14.98,0.014105,83889.00,17.20
70,0.023351,73100.00,14.30,0.015616,82706.00,16.44
71,0.025482,71393.00,13.63,0.017318,81414.00,15.69
72,0.027794,69574.00,12.97,0.019118,80004.00,14.96
73,0.030282,67640.00,12.33,0.020996,78475.00,14.24
74,0.033022,65592.00,11.70,0.023033,76827.00,13.54
75,0.036201,63426.00,11.08,0.025413,75058.00,12.85
76,0.039858,61130.00,10.48,0.028197,73150.00,12.17
77,0.043891,58693.00,9.89,0.031313,71088.00,11.51
78,0.048311,56117.00,9.33,0.034782,68862.00,10.86
79,0.053228,53406.00,8.77,0.038689,66466.00,10.24
80,0.058897,50564.00,8.24,0.043258,63895.00,9.63
81,0.065365,47585.00,7.72,0.048490,61131.00,9.04
82,0.072491,44475.00,7.23,0.054223,58167.00,8.48
83,0.080288,41251.00,6.75,0.060446,55013.00,7.93
84,0.088916,37939.00,6.30,0.067338,51688.00,7.41
85,0.098576,34566.00,5.87,0.075133,48207.00,6.91
86,0.109438,31158.00,5.45,0.084033,44585.00,6.43
87,0.121619,27748.00,5.06,0.094177,40838.00,5.98
88,0.135176,24374.00,4.69,0.105633,36992.00,5.54
89,0.150109,21079.00,4.35,0.118407,33085.00,5.14
90,0.166397,17915.00,4.03,0.132476,29167.00,4.76
91,0.183997,14934.00,3.73,0.147801,25303.00,4.41
92,0.202855,12186.00,3.46,0.164331,21563.00,4.09
93,0.222911,9714.00,3.21,0.182012,18020.00,3.80
94,0.244094,7549.00,2.99,0.200783,14740.00,3.54
95,0.265091,5706.00,2.80,0.219758,11781.00,3.30
96,0.285508,4193.00,2.63,0.238630,9192.00,3.09
97,0.304926,2996.00,2.48,0.257065,6998.00,2.90
98,0.322919,2083.00,2.34,0.274706,5199.00,2.73
99,0.339065,1410.00,2.22,0.291189,3771.00,2.57
100,0.356018,932.00,2.11,0.308660,2673.00,2.42
101,0.373819,600.00,2.00,0.327180,1848.00,2.27
102,0.392510,376.00,1.89,0.346810,1243.00,2.14
103,0.412135,228.00,1.79,0.367619,812.00,2.00
104,0.432742,134.00,1.69,0.389676,514.00,1.88
105,0.454379,76.00,1.59,0.413057,313.00,1.76
106,0.477098,42.00,1.50,0.437840,184.00,1.64
107,0.500953,22.00,1.41,0.464111,103.00,1.53
108,0.526000,11.00,1.33,0.491957,55.00,1.43
109,0.552300,5.00,1.25,0.521475,28.00,1.33
110,0.579915,2.00,1.17,0.552763,13.00,1.24
111,0.608911,1.00,1.10,0.585929,6.00,1.15
112,0.639357,0.00,1.03,0.621085,2.00,1.06
113,0.671325,0.00,0.96,0.658350,1.00,0.98
114,0.704891,0.00,0.89,0.697851,0.00,0.90
115,0.740135,0.00,0.83,0.739722,0.00,0.83
116,0.777142,0.00,0.77,0.777142,0.00,0.77
117,0.815999,0.00,0.71,0.815999,0.00,0.71
118,0.856799,0.00,0.66,0.856799,0.00,0.66
119,0.899639,0.00,0.61,0.899639,0.00,0.61